ticker,name,index,source,fetched_at
WMT,Walmart Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AXON,"Axon Enterprise, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MDLZ,"Mondelez International, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
NFLX,"Netflix, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
GOOGL,Alphabet Inc. Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MPWR,"Monolithic Power Systems, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
DXCM,"DexCom, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
TMUS,"T-Mobile US, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
MELI,"MercadoLibre, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
KDP,Keurig Dr Pepper Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
NBIS,Nebius Group N.V. Class A Ordinary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
AVGO,Broadcom Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
FTNT,"Fortinet, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
TSLA,"Tesla, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
NXPI,NXP Semiconductors N.V. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
FANG,"Diamondback Energy, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
META,"Meta Platforms, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PANW,"Palo Alto Networks, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
WDAY,"Workday, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
GOOG,Alphabet Inc. Class C Capital Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PYPL,"PayPal Holdings, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
SHOP,Shopify Inc. Class A Subordinate Voting Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
KHC,The Kraft Heinz Company Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
LITE,Lumentum Holdings Inc. Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
BKR,Baker Hughes Company Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PDD,PDD Holdings Inc. American Depositary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
DDOG,"Datadog, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
RKLB,Rocket Lab Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
PLTR,Palantir Technologies Inc. Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ABNB,"Airbnb, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
DASH,"DoorDash, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
APP,Applovin Corporation Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CEG,Constellation Energy Corporation Common Stock ,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock ",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
GEHC,GE HealthCare Technologies Inc. Common Stock ,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
LIN,Linde plc Ordinary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ARM,Arm Holdings plc American Depositary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
TRI,Thomson Reuters Corporation Common Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
FER,Ferrovial N.V. Ordinary Shares,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
ALAB,"Astera Labs, Inc. Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
SNDK,Sandisk Corporation Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
CRWV,"CoreWeave, Inc. Class A Common Stock",nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
SPCX,Space Exploration Technologies Corp. Class A Common Stock,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
HONA,Honeywell Aerospace Inc. Common Stock ,nasdaq100,api.nasdaq.com (ufficiale),2026-08-17T09:13:37
